english,turkish
several,birçok
ago,evvel
information,bilgi
nothing,hiç bir şey
community,toplum
best,en iyi
right,Sağ
idea,fikir
lead,öncülük etmek
body,gövde
learn,öğrenmek
kid,çocuk
minute,dakika
table,masa
whether,ikisinden biri
understand,anlamak
team,takım
back,geri
watch,izlemek
together,bir arada
follow,takip et
around,etrafında
only,sadece
stop,Dur
face,yüz
anything,herhangi bir şey
public,halka açık
social,sosyal
already,çoktan
parent,ebeveyn
speak,konuşmak
create,oluşturmak
office,ofis
allow,izin vermek
level,seviyesi
read,okuman
spend,harcamak
person,kişi
door,kapı
sure,Elbette
add,Ekle
street,sokak
such,çok
history,Tarih
party,Parti
grow,büyümek
reason,sebep
morning,sabah
open,açık
within,içinde
change,değiştirmek
although,olmasına rağmen
walk,yürümek
news,haberler
health,sağlık
court,mahkeme
force,Kuvvet
early,erken
himself,kendisi
air,hava
low,düşük
before,önceki
art,Sanat
result,sonuç
moment,an
offer,teklif
both,ikisi birden
remember,hatırlamak
research,Araştırma
enough,yeterli
girl,kız
boy,oğlan
win,kazanç
food,Gıda
across,karşısında
guy,insan
second,ikinci
able,hünerli
toward,karşı
maybe,belki
process,işlem
off,kapalı
everything,her şey
appear,belli olmak
age,yaş
policy,politika
consider,düşünmek
including,içermek
probably,muhtemelen
education,Eğitim
love,aşk
actually,aslında
buy,satın almak
wait,Bekle
die,ölmek
human,insan
send,göndermek
fee,ücret
expect,beklemek
serve,servis
sense,algı
teacher,öğretmen
home,ev
market,pazar
stay,kalmak
build,inşa etmek
nation,ulus
fall,sonbahar
oh,ah
death,ölüm
plan,plan
interest,faiz
someone,birisi
experience,deneyim
cut,kesmek
kill,öldürmek
behind,arka
reach,ulaşmak
six,altı
local,yerel
remain,kalmak
effect,Efekt
suggest,önermek
use,kullanmak
control,kontrol
perhaps,belki
raise,artırmak
class,sınıf
late,geç
little,biraz
major,ana
yeah,Evet
else,başka
pass,geçmek
photo,Fotoğraf
sell,satmak
themselves,kendileri
field,alan
college,kolej
sometimes,Bazen
former,önceki
development,gelişim
require,gerekmek
along,boyunca
decide,karar ver
security,güvenlik
up,yukarı
possible,mümkün
effort,çaba göstermek
role,rol
better,daha iyi
rate,oran
strong,kuvvetli
music,müzik
report,bildiri
leader,Önder
light,ışık
whole,tüm
voice,ses
color,renk
heart,kalp
care,bakım
police,polis
economic,ekonomik
wife,kadın eş
show,göstermek
mind,zihin
report,bildiri
finally,en sonunda
drug,uyuşturucu
less,az
return,dönüş
according,binaen
pull,çekmek
decision,karar
explain,açıklamak
carry,taşımak
develop,geliştirmek
view,görüş
free,Bedava
hope,Ümit etmek
even,Bile
drive,sürmek
son,oğul
arm,kol
department,Bölüm
TRUE,DOĞRU
price,fiyat
military,askeri
federal,federal
break,kırmak
action,eylem
value,değer
thank,teşekkür
relationship,ilişki
town,şehir
better,daha iyi
building,bina
receive,almak
society,toplum
difference,fark
church,kilise
full,tam dolu
join,katılmak
road,yol
because,çünkü
international,Uluslararası
model,model
position,durum
tax,vergi
director,müdür
early,erken
agree,Katılıyorum
matter,Önemli olmak
especially,özellikle
form,biçim
record,kayıt
special,özel
ground,zemin
whose,kimin
hard,sert
pick,seçmek
paper,kağıt
official,resmi
season,mevsim
wear,giymek
event,Etkinlik
support,destek
space,Uzay
player,oyuncu
everyone,herkes
couple,çift
end,son
base,temel
project,proje
produce,üretmek
site,alan
situation,durum
hit,vurmak
industry,sanayi
half,yarım
activity,aktivite
American,Amerikan
eat,yemek
itself,kendisi
need,ihtiyaç
figure,figür
cost,maliyet
easy,kolay
quite,epeyce
face,yüz
picture,resim
clear,açık
cover,örtmek
describe,betimlemek
image,imaj
teach,öğretmek
wall,duvar
doctor,doktor
recent,son
product,ürün
data,veri
practice,uygulama
phone,telefon
piece,adet
certain,belirli
either,herhangi biri
oil,sıvı yağ
simply,basitçe
test,Ölçek
personal,kişiye özel
star,yıldız
land,kara
third,üçüncü
general,genel
computer,bilgisayar
movie,film
worker,çalışan
open,açık
catch,tutmak
type,tip
support,destek
north,kuzey
love,aşk
step,adım
attention,dikkat
technology,teknoloji
organization,organizasyon
baby,bebek
source,kaynak
draw,Berabere
cause,neden
tree,ağaç
film,film
choose,Seç
evidence,kanıt
Republican,Cumhuriyetçi
difficult,zor
century,yüzyıl
nearly,az kalsın
red,kırmızı
look,bakmak
point,puan
window,pencere
park,park
period,dönem
culture,kültür
hair,saç
listen,dinlemek
chance,şans
less,az
available,mevcut
brother,Erkek kardeş
summer,yaz
realize,fark etmek
private,özel
no,hayır
science,Bilim
letter,mektup
congress,kongre
condition,şart
short,kısa
likely,büyük ihtimalle
opportunity,fırsat
rule,kural
choice,seçim
single,bekar
place,yer
patient,hasta
floor,zemin
term,terim
material,malzeme
mile,mil
administration,yönetim
well,kuyu
course,kurs
defense,savunma
plant,bitki
energy,enerji
campaign,kampanya
population,nüfus
fire,ateş
close,kapat
daughter,kız evlat
involve,içermek
husband,erkek eş
wrong,yanlış
certainly,kesinlikle
increase,arttırmak
future,gelecek
south,güney
medical,tıbbi
call,aramak
board,yazı tahtası
anyone,herhangi biri
deal,anlaştık mı
hospital,hastane
rest,dinlenme
seek,aramak
myself,kendim
county,ilçe
fight,kavga
subject,ders
risk,risk
order,emir
west,Batı
economy,ekonomi
quickly,hızlı bir şekilde
throw,atmak
bed,yatak
officer,subay
represent,temsil etmek
soon,yakında
top,tepe
fill,doldurmak
author,yazar
past,geçmiş
upon,üzerine
goal,hedef
behavior,davranış
drop,düşürmek
nature,doğa
agency,Ajans
plan,plan
recently,Geçenlerde
second,ikinci
store,mağaza
foreign,yabancı
current,akım
performance,verim
bank,banka
sound,ses
push,itmek
focus,odak
reduce,azaltmak
note,Not
before,önceki
fine,iyi
near,yakın
than,hariç
movement,hareket
common,yaygın
other,başka
billion,milyar
blood,kan
page,sayfa
concern,ilgilendirmek
poor,yoksul
enter,girmek
share,Paylaş
each,her biri
series,diziler
usually,genellikle
natural,doğal
hot,sıcak
race,yarış
language,dil
river,nehir
dead,ölü
act,davranmak
significant,önemli
no,hayır
response,tepki
rise,yükselmek
decade,on yıl
article,makale
thus,böylece
seven,Yedi
shoot,film çekmek
east,doğu
animal,hayvan
away,uzak
similar,benzer
save,kaydetmek
factor,faktör
central,merkezi
occur,meydana gelmek
committee,Kurul
serious,ciddi
sport,spor
lie,Yalan
beyond,öte
exactly,kesinlikle
despite,aksine
happy,mutlu
eight,sekiz
protect,korumak
list,liste
size,boyut
quality,kalite
pressure,baskı yapmak
accept,kabul
ready,hazır
approach,yaklaşmak
sign,işaret
attack,saldırı
individual,bireysel
career,kariyer
answer,Cevap
dog,köpek
media,medya
thought,düşünce
whatever,her neyse
determine,belirlemek
television,televizyon
meeting,toplantı
scene,"faliyet alani, sahne"
success,başarı
prepare,HAZIRLAMA
identify,tanımlamak
press,basmak
particularly,özellikle
resource,kaynak
amount,tutar
argue,tartışmak
recognize,tanımak
treatment,tedavi
left,ayrıldı
degree,derece
stock,"stok, mevcut"
indicate,belirtmek
growth,büyüme
simple,basit
ability,kabiliyet
dollar,dolar
union,Birlik
disease,hastalık
everybody,herkes
wonder,merak etmek
election,seçim
loss,kayıp
box,kutu
deal,anlaştık mı
herself,kendini
fund,"fon, sermaye"
miss,Özlemek
pretty,tatlı
region,bölge
feeling,his
lay,sermek
training,eğitim
message,İleti
arrive,varmak
standard,standart
outside,dışarıda
fail,başarısız
trade,Ticaret
staff,Personel
benefit,fayda
character,karakter
army,Ordu
association,bağlantı
operation,operasyon
present,Sunmak
crime,suç
name,isim
cup,Fincan
island,ada
analysis,analiz
check,Kontrol
answer,Cevap
photograph,fotoğraf
glass,bardak
forward,ileri
authority,yetki
earth,Dünya
stage,sahne
one,bir
act,davranmak
sort,çeşit
station,istasyon
clearly,Açıkça
little,biraz
compare,karşılaştırmak
indeed,aslında
public,halka açık
knowledge,bilgi
state,durum
blue,mavi
example,örnek
strategy,strateji
mountain,dağ
guess,tahmin etmek
sister,kardeş
force,Kuvvet
gun,silah
various,çeşitli
laugh,kahkaha
environment,çevre
design,tasarım
sun,güneş
lawyer,avukat
sex,seks
rather,yerine
artist,sanatçı
club,kulüp
prove,kanıtlamak
section,bölüm
skill,beceri
truth,gerçek
set,Ayarlamak
ok,tamam
manager,müdür
executive,yönetici
district,semt
claim,iddia
forget,unutmak
hang,asmak
entire,bütün
leg,bacak
enough,yeterli
design,tasarım
close,kapat
study,ders çalışma
since,dan beri
environmental,çevre
establish,kurmak
democratic,demokratik
remove,kaldırmak
main,ana
professor,profesör
financial,parasal
enjoy,eğlence
network,ağ
sound,ses
discuss,tartışmak
form,biçim
final,son
trial,Deneme
legal,yasal
help,Yardım Edin
cold,soğuk
above,üstünde
rock,kaynak
that,o
seat,koltuk
weapon,silah
song,şarkı
expert,uzman
radio,radyo
nice,Güzel
avoid,kaçınmak
memory,hafıza
management,yönetmek
charge,şarj
spring,bahar
card,kart
maintain,sürdürmek
theory,teori
care,bakım
visit,ziyaret etmek
imagine,hayal etmek
finish,bitiş
statement,Beyan
firm,firma
huge,Kocaman
respond,cevap vermek
popular,popüler
hard,sert
physical,fiziksel
talk,konuşmak
traditional,geleneksel
contain,içermek
peace,Barış
green,Yeşil
thanks,Teşekkürler
control,kontrol
Democrat,Demokrat
base,temel
impact,darbe
structure,yapı
tonight,Bu gece
note,Not
direction,yön
fly,uçmak
onto,üzerine
king,kral
reveal,ortaya çıkartmak
cell,hücre
religious,din
ball,top
particular,özel
employee,çalışan
head,kafa
suddenly,birden
apply,uygulamak
shake,sallamak
cultural,kültürel
chair,sandalye
PM,ÖĞLEDEN SONRA
justice,adalet
discover,keşfetmek
measure,ölçüm
politics,siyaset
manage,üstesinden gelmek
treat,davranmak
yourself,kendin
pain,ağrı
evening,akşam
rather,yerine
unit,birim
affect,etkilemek
play,Oyna
production,üretme
bit,biraz
inside,içeri
far,uzak
range,Aralık
top,tepe
worry,endişe etmek
perform,rol yapmak
necessary,gerekli
conference,konferans
individual,bireysel
candidate,aday
museum,müze
specific,özel
best,en iyi
throughout,boyunca
hall,salon
past,geçmiş
fish,balık
trip,seyahat
mention,Anma
edge,kenar
trouble,bela
interview,röportaj yapmak
style,stil
middle,orta
cause,neden
ten,on
weight,ağırlık
adult,yetişkin
dream,rüya
fear,korku
dark,karanlık
sign,işaret
method,yöntem
somebody,biri
magazine,dergi
reflect,yansıtmak
heavy,ağır
soldier,asker
property,Emlak
beautiful,güzel
writer,yazar
stuff,şey
camera,kamera
improve,geliştirmek
shoulder,omuz
bar,çubuk
hotel,otel
instead,yerine
hill,Tepe
exist,mevcut
sea,deniz
institution,kurum
purpose,amaç
pattern,model
detail,detay
machine,makine
challenge,meydan okumak
owner,sahip
agent,ajan
tough,zorlu
ahead,ilerde
generation,nesil
commercial,reklam
whom,kime
fall,sonbahar
down,aşağı
surface,yüzey
budget,bütçe
senator,senatör
bag,sırt çantası
reality,gerçeklik
editor,editör
tend,Bakmak
address,adres
civil,sivil
step,adım
discussion,tartışma
test,Ölçek
mom,anne
violence,şiddet
total,Toplam
skin,deri
heat,sıcaklık
council,konsey
notice,fark etme
beat,vurmak
nor,ne
modern,modern
vote,oy
sing,şarkı söyle
cancer,kanser
finger,parmak
lake,göl
wish,dilek
marriage,evlilik
victim,kurban
task,görev
yard,avlu
kitchen,mutfak
item,öğe
responsibility,sorumluluk
mouth,ağız
agreement,anlaşma
attorney,avukat
capital,Başkent
threat,tehdit
smile,gülümsemek
gas,gaz
instead,yerine
positive,pozitif
track,Izlemek
investment,yatırım
account,hesap
break,kırmak
rich,zengin
citizen,vatandaş
audience,kitle
lady,Hanım
dinner,akşam yemeği
western,batılı
debate,çekişme
consumer,tüketici
majority,çoğunluk
interesting,ilginç
prevent,engel olmak
travel,yolculuk
born,doğmak
relate,ilgili olmak
assume,farz etmek
none,Yok
admit,Kabul et
front,ön
figure,figür
coach,koç
partner,ortak
shot,atış
scientist,Bilim insanı
senior,kıdemli
suffer,acı çekmek
alone,yalnız
collection,Toplamak
successful,başarılı
speech,konuşma
eventually,sonunda
key,anahtar
mission,misyon
score,Puan
newspaper,gazete
wind,rüzgâr
reform,reform
concerned,endişeli
professional,profesyonel
relation,ilişki
troops,birlikler
garden,Bahçe
access,erişim
publish,Yayınla
recall,hatırlamak
Soviet,Sovyet
cost,maliyet
southern,güney
senate,Senato
opinion,fikir
option,seçenek
judge,hakim
original,orijinal
customer,müşteri
critical,eleştirel
corner,köşe
basic,temel
income,Gelir
directly,direkt olarak
own,sahip olmak
release,serbest bırakmak
restaurant,restoran
neighborhood,komşu
effective,etkili
labor,iş gücü
nobody,hiç kimse
stare,dik dik dikmek
immediately,hemen
achieve,başarmak
forest,orman
dad,baba
hurt,acıtmak
video,video
strike,vuruş
safety,Emniyet
absolutely,kesinlikle
therefore,öyleyse
freedom,özgürlük
version,versiyon
like,beğenmek
plane,uçak
attitude,davranış
sexual,cinsel
refer,bahsetmek
fresh,taze
involved,dahil olmuş
powerful,güçlü
bird,kuş
touch,dokunmak
variety,Çeşitlilik
deep,derin
text,Metin
wide,geniş
credit,kredi
nine,dokuz
sleep,uyumak
investigation,soruşturma
hope,Ümit etmek
announce,duyurmak
by,ile
completely,tamamen
vote,oy
conduct,yönetmek
conflict,fikir ayrılığı
replace,yer değiştirmek
attend,katılmak
participant,katılımcı
argument,argüman
object,nesne
please,lütfen
nuclear,nükleer
sky,gökyüzü
along,boyunca
afternoon,öğleden sonra
hundred,yüz
encourage,cesaretlendirmek
perfect,mükemmel
possibility,olasılık
turn,dönüş
British,ingiliz
once,bir Zamanlar
examine,muayene etmek
conversation,konuşma
generally,genel olarak
beginning,başlangıç
secretary,Sekreter
experience,deneyim
beach,plaj
safe,güvenli
spirit,ruh
weekend,hafta sonu
date,tarih
define,tanımlamak
feature,özellik
global,küresel
very,çok
element,element
attempt,teşebbüs
slowly,yavaş yavaş
governor,Vali
through,vasıtasıyla
concept,kavram
sorry,Üzgünüm
easily,kolayca
battle,savaş
league,lig
camp,kamp
introduce,takdim etmek
status,durum
insurance,sigorta
complete,tamamlamak
stick,sopa
solution,çözüm
web,ağ
vision,görüş
stone,taş
lack,eksiklik
driver,şoför
normal,normal
truck,kamyon
minister,bakan
handle,üstesinden gelmek
hole,delik
front,ön
fan,fan
spot,leke
crisis,kriz
supposed,sözde
refuse,reddetmek
drink,İçmek
researcher,araştırmacı
tradition,gelenek
communication,iletişim
distance,mesafe
ship,gemi
gain,kazanmak
express,ifade etmek
independent,bağımsız
ice,buz
scale,ölçek
brain,beyin
winter,kış mevsimi
commission,komisyon
wood,Odun
increase,arttırmak
return,dönüş
division,bölüm
species,Türler
AM,Ben
roll,rulo
hide,saklamak
middle,orta
client,müşteri
resident,ikamet eden kişi
contract,sözleşme
gold,altın
future,gelecek
potential,potansiyel
presence,mevcudiyet
institute,enstitü
screen,ekran
run,koşmak
Chinese,Çince
horse,atış
European,Avrupalı
target,hedef
willing,istekli
survey,anket
interested,Ilgilenen
chief,şef
crowd,kalabalık
prison,hapishane
terms,şartlar
obviously,açıkça
basis,temel
apartment,apartman
farm,çiftlik
flight,uçuş
shape,şekil
demand,talep etmek
strength,kuvvet
village,köy
operate,çalıştırmak
reporter,muhabir
share,Paylaş
guard,koruma
observe,gözlemek
deliver,teslim etmek
count,saymak
inside,içeri
advantage,avantaj
wild,vahşi
previous,öncesi
average,ortalama
emerge,ortaya çıkmak
contribute,katkıda bulunmak
leadership,liderlik
boat,bot
facility,tesis
present,Sunmak
earn,para kazanmak
highly,büyük ölçüde
vehicle,araç
pound,pound
tiny,çok küçük
understanding,anlayışlı
settle,yerleşmek
unless,meğer ki
tomorrow,yarın
foundation,Yapı temeli
quick,hızlı
block,engellemek
light,ışık
reader,okuyucu
collect,toplamak
guest,misafir
living,yaşamak
tool,alet
protection,koruma
fair,adil
additional,ek olarak
promote,terfi
equipment,teçhizat
mostly,çoğunlukla
order,emir
painting,tablo
feed,beslemek
principle,prensip
bowl,tas
claim,iddia
technique,teknik
limit,sınırlamak
identity,Kimlik
title,Başlık
critic,eleştirmen
survive,hayatta kalmak
cry,Ağla
border,sınır
lift,kaldırmak
path,yol
aspect,Görünüş
marry,evlenmek
shop,Dükkan
failure,arıza
ride,sürmek
responsible,sorumlu
gather,toplamak
jump,zıplamak
sample,örneklem
affair,mesele
result,sonuç
worth,değer
fit,Uygun
chairman,başkan
until,a kadar
lesson,ders
Christmas,Noel
insist,ısrar etmek
anybody,kimse
folk,halk
band,bant
ear,kulak
procedure,prosedür
associate,iş arkadaşı
inch,inç
warm,ılık
African,Afrikalı
French,Fransızca
baseball,beyzbol
demonstrate,göstermek
foot,ayak
Christian,Hıristiyan
approach,yaklaşmak
competition,yarışma
measure,ölçüm
afraid,korkmuş
spread,yayılmış
ignore,aldırmamak
soft,yumuşak
annual,yıllık
wonderful,müthiş
threaten,tehdit etmek
commit,işlemek
deny,reddetmek
intelligence,istihbarat
regular,düzenli
influence,etkilemek
general,genel
past,geçmiş
reaction,reaksiyon
cross,geçmek
master,usta
suit,takım elbise
blow,üflemek
destroy,tahrip etmek
gift,hediye
coffee,Kahve
anyway,her neyse
belief,inanç
comment,yorum
apparently,görünen o ki
twice,iki defa
background,arka fon
quarter,çeyrek
review,gözden geçirmek
faith,inanç
move,hareket
speed,hız
engage,Tut
broad,kalın
perspective,perspektif
slightly,biraz
growing,büyüyen
view,görüş
function,işlev
construction,inşaat
egg,Yumurta
charge,şarj
wave,dalga
female,dişi
murder,cinayet
tape,kaset
burn,yakmak
means,anlamına geliyor
aware,farkında olmak
mistake,hata
quiet,sessizlik
connection,bağ
shoe,ayakkabı
clothes,çamaşırlar
promise,söz vermek
religion,din
complete,tamamlamak
united,Birleşik
context,bağlam
active,aktif
focus,odak
youth,gençlik
location,yer
neighbor,komşu
dress,elbise
Internet,İnternet
category,kategori
dangerous,tehlikeli
extend,uzatmak
combine,birleştirmek
demand,talep etmek
coast,sahil
relatively,Nispeten
smile,gülümsemek
bus,otobüs
hey,hey
chief,şef
following,Takip etmek
depend,bağımlı
key,anahtar
hell,cehennem
visit,ziyaret etmek
bone,kemik
cook,pişirmek
fire,ateş
direct,yönlendirmek
native,yerli
cool,serin
cut,kesmek
remind,hatırlatmak
historical,tarihi
moral,ahlak
voter,seçmen
appropriate,uygun
famous,tanınmış
hire,kiralamak
victory,zafer
contact,İletişim
fully,tamamen
negative,olumsuz
medicine,ilaç
participate,Katıl
grade,seviye
eastern,doğu
supply,arz
yesterday,dün
familiar,tanıdık
democracy,demokrasi
pair,çift
drive,sürmek
healthy,sağlıklı
front,ön
tie,bağlamak
birth,doğum
progress,ilerlemek
damage,zarar
exchange,değiş tokuş
bottom,alt
daily,günlük
next,sonraki
document,belge
grand,büyük
journal,dergi
knee,diz
primary,öncelik
otherwise,aksi halde
train,tren
grab,yakalamak
circle,daire
lean,yağsız - Yağsız
wine,şarap
minority,azınlık
flower,çiçek
device,cihaz
Iraqi,Irak
plate,plaka
attack,saldırı
clean,temiz
alive,canlı
actor,aktör
hate,nefret
expression,ifade
below,aşağıda
bright,parlak
press,basmak
tour,tur
finding,bulma
exercise,egzersiz yapmak
plastic,plastik
danger,tehlike
neck,boyun
valley,vadi
academic,akademik
start,Başlat
application,başvuru
intend,niyet etmek
male,erkek
tall,uzun
shut,kapamak
lots,çok
Indian,Hintli
respect,saygı
colleague,iş arkadaşı
writing,yazı
rain,yağmur
fast,hızlı
football,Futbol
welcome,Hoşgeldiniz
domestic,yerel
pool,havuz
literature,Edebiyat
extra,ekstra
northern,kuzey
desire,arzu
direct,yönlendirmek
fight,kavga
corporate,Kurumsal
session,oturum
supreme,yüce
studio,stüdyo
Russian,Rusça
nod,başını sallamak
learning,öğrenme
climb,tırmanmak
importance,önem
somewhere,bir yerde
expand,genişletmek
fourth,dördüncü
dry,kuru
disappear,kaybolmak
abuse,taciz
chicken,Tavuk
obtain,elde etmek
map,harita
carefully,dikkatlice
close,kapat
increasingly,giderek
greatest,En büyük
complex,karmaşık
metal,metal
lead,öncülük etmek
above,üstünde
jury,jüri
sweet,tatlı
proposal,teklif
impossible,imkansız
scientific,ilmi
ticket,bilet
leaf,yaprak
classroom,sınıf
surround,çevrelemek
lunch,öğle yemeği
alone,yalnız
meaning,anlam
injury,incinme
invite,Davet et
enemy,düşman
repeat,tekrar et
bear,ayı
lip,dudak
mayor,Belediye Başkanı
award,ödül
attempt,teşebbüs
commitment,bağlılık
consequence,sonuçlar
instruction,talimat
surprise,sürpriz
poll,anket
favorite,favori
explore,keşfetmek
predict,tahmin etmek
adopt,evlat edinmek
sight,görme
storm,fırtına
half,yarım
assessment,değerlendirme
weather,hava
pocket,cep
aid,yardım
reading,okuma
thin,ince
soul,ruh
strange,garip
married,evli
organize,düzenlemek
conclusion,çözüm
fuel,yakıt
urban,kentsel
belong,ait olmak
salt,tuz
farmer,çiftçi
straight,dümdüz
advice,tavsiye
cover,örtmek
balance,denge
temperature,sıcaklık
empty,boş
conclude,sonuçlandırmak
somehow,bir şekilde
presidential,başkanlık
limit,sınırlamak
prime,önemli
breast,meme
desk,sıra
record,kayıt
breath,nefes
theater,tiyatro
under,altında
acknowledge,kabullenmek
theme,tema
fat,yağ
software,yazılım
sugar,Şeker
educational,eğitici
thousand,bin
code,kodlamak
fear,korku
connect,bağlamak
yellow,Sarı
instrument,enstrüman
Japanese,Japonca
panel,panel
library,kütüphane
expensive,masraflı
emotional,duygusal
engine,motor
propose,"teklif etmek, önermek"
mental,akıllı
difficulty,zorluk
train,tren
brown,Kahverengi
basically,temel olarak
last,geçen
average,ortalama
ring,yüzük
mark,işaret
locate,bulmak
search,arama
largely,büyük oranda
possibly,muhtemelen
anymore,artık değil
generate,üretmek
regional,bölgesel
obvious,bariz
angry,sinirli
analyst,analist
accident,kaza
trend,akım
like,beğenmek
appearance,dış görünüş
currently,şu anda
shadow,gölge
being,olmak
moon,ay
bridge,köprü
but,ancak
recommend,tavsiye etmek
hearing,işitme
fruit,meyve
dance,dans
shift,vardiya
comfortable,rahat
struggle,mücadele etmek
revenue,gelir
notion,fikir
okay,Tamam
package,paketi
ought,zorunlu
traffic,trafik
internal,dahili
prefer,tercih
crew,mürettebat
search,arama
profit,kâr
regulation,düzenleme
link,bağlantı
thinking,düşünme
hardly,zorlu
airport,havalimanı
human,insan
extremely,son derece
sick,hasta
capture,ele geçirmek
unique,benzersiz
actual,gerçek
chest,göğüs
meal,yemek
beauty,güzellik
extent,kapsam
defend,savunmak
visitor,ziyaretçi
outside,dışarıda
judge,hakim
dozen,düzine
declare,bildirmek
emergency,acil Durum
ad,reklam
truly,tamamen
planet,gezegen
select,seçme
ethnic,etnik
nose,burun
loan,borç
cash,nakit
contribution,katkı
slow,yavaş
contrast,zıtlık
bottle,şişe
launch,başlatmak
novel,Roman
feature,özellik
duty,görev
root,kök
content,içerik
component,bileşen
appreciate,takdir etmek
circumstance,durum
teaching,öğretim
paint,boyamak
matter,Önemli olmak
thick,kalın
cat,kedi
neither,hiç biri
standard,standart
ourselves,kendimizi
correct,doğru
warn,uyarmak
capacity,kapasite
challenge,meydan okumak
convention,ortak düşünce
politician,politikacı
pursue,izlemek
setting,ayar
zone,alan
dress,elbise
pilot,pilot
ensure,emin olmak
ultimately,nihayetinde
male,erkek
wake,uyanmak
shirt,gömlek
influence,etkilemek
guide,kılavuz
AIDS,AIDS
mix,karışım
slip,kaymak
steal,hırsızlık yapmak
late,geç
frequently,sık sık
blame,suçlamak
sheet,çarşaf
estimate,tahmin etmek
relief,rahatlama
combination,kombinasyon
investor,yatırımcı
due,vadesi dolmuş
silence,sessizlik
manner,tavır
muscle,kas
branch,dal
chain,Zincir
long,uzun
telephone,telefon
investigate,incelemek
German,Almanca
percentage,yüzde
outcome,sonuç
estate,arazi
forth,ileri
stress,stres
